"Date","Price","Open","High","Low","Vol.","Change %"
"02/11/2026","1.1911","1.1888","1.1914","1.1886","","0.13%"
"02/10/2026","1.1895","1.1913","1.1929","1.1887","","-0.17%"
"02/09/2026","1.1915","1.1817","1.1927","1.1809","","0.74%"
"02/08/2026","1.1827","1.1814","1.1828","1.1810","","0.08%"
"02/06/2026","1.1817","1.1778","1.1827","1.1765","","0.34%"
"02/05/2026","1.1777","1.1808","1.1822","1.1774","","-0.25%"
"02/04/2026","1.1807","1.1819","1.1839","1.1790","","-0.10%"
"02/03/2026","1.1819","1.1791","1.1829","1.1780","","0.24%"
"02/02/2026","1.1791","1.1856","1.1875","1.1776","","-0.50%"
"01/30/2026","1.1850","1.1971","1.1976","1.1850","","-1.01%"
"01/29/2026","1.1971","1.1954","1.1997","1.1906","","0.14%"
"01/28/2026","1.1954","1.2041","1.2046","1.1896","","-0.72%"
"01/27/2026","1.2041","1.1876","1.2079","1.1850","","1.35%"
"01/26/2026","1.1881","1.1833","1.1907","1.1833","","0.45%"
"01/23/2026","1.1828","1.1753","1.1834","1.1728","","0.62%"
"01/22/2026","1.1755","1.1684","1.1757","1.1670","","0.61%"
"01/21/2026","1.1684","1.1722","1.1743","1.1677","","-0.35%"
"01/20/2026","1.1725","1.1644","1.1769","1.1632","","0.68%"
"01/19/2026","1.1646","1.1584","1.1649","1.1572","","0.41%"
"01/16/2026","1.1599","1.1608","1.1628","1.1584","","-0.08%"
"01/15/2026","1.1608","1.1642","1.1648","1.1593","","-0.31%"
"01/14/2026","1.1644","1.1646","1.1662","1.1635","","0.01%"
"01/13/2026","1.1643","1.1669","1.1678","1.1634","","-0.21%"
"01/12/2026","1.1668","1.1635","1.1698","1.1621","","0.26%"
