Date,Price,Open,High,Low,Change %,short_mavg,long_mavg,signal,EMA10,EMA30,EMA200,ROC10,ROC30,MOM10,MOM30,RSI10,RSI30,RSI200,%K10,%D10,%K30,%D30,%K200,%D200
02/11/2026,1.1871,1.1895,1.1928,1.1833,-0.20%,1.1871,1.1871,0.0,,,,,,,,,,,,,,,,
02/10/2026,1.1895,1.1913,1.1929,1.1887,-0.17%,1.1883,1.1883,0.0,,,,,,,,,,,,,,,,
02/09/2026,1.1915,1.1817,1.1927,1.1809,0.74%,1.1893666666666667,1.1893666666666667,0.0,,,,,,,,,,,,,,,,
02/08/2026,1.1827,1.1814,1.1828,1.181,0.08%,1.1877,1.1877,0.0,,,,,,,,,,,,,,,,
02/06/2026,1.1817,1.1778,1.1827,1.1765,0.34%,1.1865,1.1865,0.0,,,,,,,,,,,,,,,,
02/05/2026,1.1777,1.1808,1.1822,1.1774,-0.25%,1.1850333333333334,1.1850333333333334,0.0,,,,,,,,,,,,,,,,
02/04/2026,1.1807,1.1819,1.1839,1.179,-0.10%,1.1844142857142859,1.1844142857142859,0.0,,,,,,,,,,,,,,,,
02/03/2026,1.1819,1.1791,1.1829,1.178,0.24%,1.1841,1.1841,0.0,,,,,,,,,,,,,,,,
02/02/2026,1.1791,1.1856,1.1875,1.1776,-0.50%,1.1835444444444443,1.1835444444444443,0.0,,,,,,,,,,,,,,,,
01/30/2026,1.185,1.1971,1.1976,1.185,-1.01%,1.18369,1.18369,0.0,1.1825665501873484,,,-0.17690169320191987,,,,,,,40.284360189573434,,,,,
01/29/2026,1.1971,1.1954,1.1997,1.1906,0.14%,1.18469,1.184909090909091,0.0,1.18553555228773,,,0.6389239176124465,,0.010000000000000009,,61.574074074074105,,,88.79310344827609,,,,,
01/28/2026,1.1954,1.2041,1.2046,1.1896,-0.72%,1.1852800000000001,1.1857833333333334,0.0,1.1875064508866988,,,0.3273185060847683,,0.005900000000000016,,58.994578610152764,,,67.25978647686853,65.44575003823935,,,,
01/27/2026,1.2041,1.1876,1.2079,1.185,1.35%,1.1865400000000002,1.1871923076923077,0.0,1.1907632543429783,,,1.809419125729252,,0.012599999999999945,,66.88337534828176,,,87.89808917197439,81.31699303237299,,,,
01/26/2026,1.1881,1.1833,1.1907,1.1833,0.45%,1.1870800000000001,1.187257142857143,0.0,1.1902479855921755,,,0.5415926208005384,,0.005399999999999849,,48.009693155884065,,,36.942675159235286,64.03351693602606,,,,
01/23/2026,1.1828,1.1753,1.1834,1.1728,0.62%,1.18719,1.18696,1.0,1.188823600293861,,,0.4330474653986673,,0.001100000000000101,,43.492523143159374,,,28.49002849002859,51.11026427374609,,,,
01/22/2026,1.1755,1.1684,1.1757,1.167,0.61%,1.18697,1.18624375,1.0,1.1862993310071905,,,-0.44041670195647437,,-0.0021999999999999797,,38.018165748967164,,,20.782396088019475,28.73836657909445,,,,
01/21/2026,1.1684,1.1722,1.1743,1.1677,-0.35%,1.18574,1.1851941176470588,1.0,1.1829338638863995,,,-1.1422286149420293,,-0.012299999999999978,,33.466025254884855,,,3.4229828850857458,17.565135821044603,,,,
