Date,Price,Open,High,Low,Change %,short_mavg,long_mavg,signal,EMA10,EMA30,EMA200,ROC10,ROC30,MOM10,MOM30,RSI10,RSI30,RSI200,%K10,%D10,%K30,%D30,%K200,%D200
02/11/2020,1.0914,1.0911,1.0926,1.089,0.05%,1.0914,1.0914,0.0,,,,,,,,,,,,,,,,
02/12/2020,1.0871,1.0916,1.0926,1.0865,-0.39%,1.0892499999999998,1.0892499999999998,0.0,,,,,,,,,,,,,,,,
02/13/2020,1.084,1.0874,1.089,1.0833,-0.29%,1.0875000000000001,1.0875000000000001,0.0,,,,,,,,,,,,,,,,
02/14/2020,1.083,1.0841,1.0862,1.0827,-0.09%,1.0863749999999999,1.0863749999999999,0.0,,,,,,,,,,,,,,,,
02/17/2020,1.0834,1.0832,1.0852,1.0821,0.04%,1.08578,1.08578,0.0,,,,,,,,,,,,,,,,
02/18/2020,1.0791,1.0838,1.0839,1.0785,-0.40%,1.0846666666666667,1.0846666666666667,0.0,,,,,,,,,,,,,,,,
02/19/2020,1.0804,1.0791,1.0812,1.0782,0.12%,1.0840571428571428,1.0840571428571428,0.0,,,,,,,,,,,,,,,,
02/20/2020,1.0783,1.0806,1.0822,1.0777,-0.19%,1.0833375,1.0833375,0.0,,,,,,,,,,,,,,,,
02/21/2020,1.0843,1.0785,1.0865,1.0784,0.56%,1.0834444444444444,1.0834444444444444,0.0,,,,,,,,,,,,,,,,
02/24/2020,1.0852,1.0841,1.0873,1.0805,0.08%,1.08362,1.08362,0.0,1.0829036319029512,,,-0.5680776983690657,,,,,,,50.33557046979787,,,,,
02/25/2020,1.0879,1.0854,1.0891,1.0829,0.25%,1.08327,1.084009090909091,0.0,1.0839243274408754,,,0.07359028608224946,,-0.0034999999999998366,,43.29501915708844,,,68.45637583892649,,,,,
02/26/2020,1.0879,1.0881,1.0909,1.0854,0.00%,1.08335,1.0843333333333334,0.0,1.0847186595419003,,,0.3597785977859792,,0.0008000000000001339,,43.29501915708844,,,77.27272727272788,65.35489119381741,,,,
